played,home_team,away_team,home_alias,away_alias,homePts,awayPts,winner,totalPts,home_passing_yards,away_passing_yards,home_rushing_yards,away_rushing_yards,week,season
True,Jaguars,Packers,JAC,GB,23,27,away,50,300,199,48,95,1,2016
True,Titans,Vikings,TEN,MIN,16,25,away,41,252,236,64,65,1,2016
True,Texans,Bears,HOU,CHI,23,14,home,37,215,185,129,73,1,2016
True,Cowboys,Giants,DAL,NYG,19,20,away,39,227,203,101,113,1,2016
True,Falcons,Buccaneers,ATL,TB,24,31,away,55,322,281,52,90,1,2016
True,Ravens,Bills,BAL,BUF,13,7,home,20,225,95,83,65,1,2016
True,Broncos,Panthers,DEN,CAR,21,20,home,41,159,176,148,157,1,2016
True,Cardinals,Patriots,ARI,NE,21,23,away,44,252,257,92,106,1,2016
True,Colts,Lions,IND,DET,35,39,away,74,368,332,82,116,1,2016
True,Jets,Bengals,NYJ,CIN,22,23,away,45,188,324,152,57,1,2016
True,Redskins,Steelers,WAS,PIT,16,38,away,54,329,290,55,147,1,2016
True,Saints,Raiders,NO,OAK,34,35,away,69,419,319,88,167,1,2016
True,49ers,Rams,SF,LA,28,0,home,28,170,120,150,65,1,2016
True,Eagles,Browns,PHI,CLE,29,10,home,39,270,168,133,120,1,2016
True,Chiefs,Chargers,KC,SD,33,27,home,60,330,233,83,155,1,2016
True,Seahawks,Dolphins,SEA,MIA,12,10,home,22,240,150,112,64,1,2016
True,Bears,Eagles,CHI,PHI,14,29,away,43,220,180,64,100,2,2016
True,Browns,Ravens,CLE,BAL,20,25,away,45,242,302,145,80,2,2016
True,Raiders,Falcons,OAK,ATL,28,35,away,63,299,389,155,139,2,2016
True,Cardinals,Buccaneers,ARI,TB,40,7,home,47,311,221,105,85,2,2016
True,Steelers,Bengals,PIT,CIN,24,16,home,40,250,366,124,46,2,2016
True,Redskins,Cowboys,WAS,DAL,23,27,away,50,350,278,82,102,2,2016
True,Texans,Chiefs,HOU,KC,19,12,home,31,254,172,97,119,2,2016
True,Panthers,49ers,CAR,SF,46,27,home,73,353,237,176,65,2,2016
True,Bills,Jets,BUF,NYJ,31,37,away,68,307,370,86,123,2,2016
True,Giants,Saints,NYG,NO,16,13,home,29,353,247,64,41,2,2016
True,Broncos,Colts,DEN,IND,34,20,home,54,266,170,134,83,2,2016
True,Lions,Titans,DET,TEN,15,16,away,31,238,224,137,139,2,2016
True,Rams,Seahawks,LA,SEA,9,3,home,12,219,239,64,67,2,2016
True,Patriots,Dolphins,NE,MIA,31,24,home,55,302,387,161,70,2,2016
True,Vikings,Packers,MIN,GB,17,14,home,31,254,180,30,83,2,2016
True,Chargers,Jaguars,SD,JAC,38,14,home,52,207,319,150,69,2,2016
True,Bills,Cardinals,BUF,ARI,33,18,home,51,89,260,208,88,3,2016
True,Colts,Chargers,IND,SD,26,22,home,48,317,315,93,37,3,2016
True,Dolphins,Browns,MIA,CLE,30,24,home,54,311,261,115,169,3,2016
True,Giants,Redskins,NYG,WAS,27,29,away,56,337,313,120,90,3,2016
True,Packers,Lions,GB,DET,34,27,home,61,201,368,123,50,3,2016
True,Seahawks,49ers,SEA,SF,37,18,home,55,291,119,127,135,3,2016
True,Jaguars,Ravens,JAC,BAL,17,19,away,36,168,199,48,84,3,2016
True,Titans,Raiders,TEN,OAK,10,17,away,27,212,245,181,123,3,2016
True,Patriots,Texans,NE,HOU,27,0,home,27,97,175,185,109,3,2016
True,Bengals,Broncos,CIN,DEN,17,29,away,46,189,303,143,52,3,2016
True,Buccaneers,Rams,TB,LA,32,37,away,69,389,183,83,137,3,2016
True,Chiefs,Jets,KC,NYJ,24,3,home,27,221,188,72,117,3,2016
