home_off_pass_ypg,home_def_pass_ypg,home_off_rush_ypg,home_def_rush_ypg,home_off_ppg,home_def_ppg,home_win_pct,away_off_pass_ypg,away_def_pass_ypg,away_off_rush_ypg,away_def_rush_ypg,away_off_ppg,away_def_ppg,away_win_pct,played,home_team,away_team,home_alias,away_alias,homePts,awayPts,winner,totalPts,home_passing_yards,away_passing_yards,home_rushing_yards,away_rushing_yards,week,season,fk
185,215,73,129,14,23,0,270,168,133,120,29,10,1,True,Bears,Eagles,CHI,PHI,14,29,away,43,220,180,64,100,2,2016,Bears_Eagles_2_2016
168,270,120,133,10,29,0,225,95,83,65,13,7,1,True,Browns,Ravens,CLE,BAL,20,25,away,45,242,302,145,80,2,2016,Browns_Ravens_2_2016
319,419,167,88,35,34,1,322,281,52,90,24,31,0,True,Raiders,Falcons,OAK,ATL,28,35,away,63,299,389,155,139,2,2016,Raiders_Falcons_2_2016
252,257,92,106,21,23,0,281,322,90,52,31,24,1,True,Cardinals,Buccaneers,ARI,TB,40,7,home,47,311,221,105,85,2,2016,Cardinals_Buccaneers_2_2016
290,329,147,55,38,16,1,324,188,57,152,23,22,1,True,Steelers,Bengals,PIT,CIN,24,16,home,40,250,366,124,46,2,2016,Steelers_Bengals_2_2016
329,290,55,147,16,38,0,227,203,101,113,19,20,0,True,Redskins,Cowboys,WAS,DAL,23,27,away,50,350,278,82,102,2,2016,Redskins_Cowboys_2_2016
215,185,129,73,23,14,1,330,233,83,155,33,27,1,True,Texans,Chiefs,HOU,KC,19,12,home,31,254,172,97,119,2,2016,Texans_Chiefs_2_2016
176,159,157,148,20,21,0,170,120,150,65,28,0,1,True,Panthers,49ers,CAR,SF,46,27,home,73,353,237,176,65,2,2016,Panthers_49ers_2_2016
95,225,65,83,7,13,0,188,324,152,57,22,23,0,True,Bills,Jets,BUF,NYJ,31,37,away,68,307,370,86,123,2,2016,Bills_Jets_2_2016
203,227,113,101,20,19,1,419,319,88,167,34,35,0,True,Giants,Saints,NYG,NO,16,13,home,29,353,247,64,41,2,2016,Giants_Saints_2_2016
159,176,148,157,21,20,1,368,332,82,116,35,39,0,True,Broncos,Colts,DEN,IND,34,20,home,54,266,170,134,83,2,2016,Broncos_Colts_2_2016
332,368,116,82,39,35,1,252,236,64,65,16,25,0,True,Lions,Titans,DET,TEN,15,16,away,31,238,224,137,139,2,2016,Lions_Titans_2_2016
120,170,65,150,0,28,0,240,150,112,64,12,10,1,True,Rams,Seahawks,LA,SEA,9,3,home,12,219,239,64,67,2,2016,Rams_Seahawks_2_2016
257,252,106,92,23,21,1,150,240,64,112,10,12,0,True,Patriots,Dolphins,NE,MIA,31,24,home,55,302,387,161,70,2,2016,Patriots_Dolphins_2_2016
236,252,65,64,25,16,1,199,300,95,48,27,23,1,True,Vikings,Packers,MIN,GB,17,14,home,31,254,180,30,83,2,2016,Vikings_Packers_2_2016
233,330,155,83,27,33,0,300,199,48,95,23,27,0,True,Chargers,Jaguars,SD,JAC,38,14,home,52,207,319,150,69,2,2016,Chargers_Jaguars_2_2016
201,297.5,75.5,103,19,25,0,281.5,239,98.5,95.5,30.5,15,0.5,True,Bills,Cardinals,BUF,ARI,33,18,home,51,89,260,208,88,3,2016,Bills_Cardinals_3_2016
269,299,82.5,125,27.5,36.5,0,220,324.5,152.5,76,32.5,23.5,0.5,True,Colts,Chargers,IND,SD,26,22,home,48,317,315,93,37,3,2016,Colts_Chargers_3_2016
268.5,271,67,136.5,17,21.5,0,205,286,132.5,106.5,15,27,0,True,Dolphins,Browns,MIA,CLE,30,24,home,54,311,261,115,169,3,2016,Dolphins_Browns_3_2016
278,237,88.5,71,18,16,1,339.5,284,68.5,124.5,19.5,32.5,0,True,Giants,Redskins,NYG,WAS,27,29,away,56,337,313,120,90,3,2016,Giants_Redskins_3_2016
189.5,277,89,39,20.5,20,0.5,285,296,126.5,110.5,27,25.5,0.5,True,Packers,Lions,GB,DET,34,27,home,61,201,368,123,50,3,2016,Packers_Lions_3_2016
239.5,184.5,89.5,64,7.5,9.5,0.5,203.5,236.5,107.5,120.5,27.5,23,0.5,True,Seahawks,49ers,SEA,SF,37,18,home,55,291,119,127,135,3,2016,Seahawks_49ers_3_2016
309.5,203,58.5,122.5,18.5,32.5,0,263.5,168.5,81.5,105,19,13.5,1,True,Jaguars,Ravens,JAC,BAL,17,19,away,36,168,199,48,84,3,2016,Jaguars_Ravens_3_2016
238,237,101.5,101,16,20,0.5,309,404,161,113.5,31.5,34.5,0.5,True,Titans,Raiders,TEN,OAK,10,17,away,27,212,245,181,123,3,2016,Titans_Raiders_3_2016
279.5,319.5,133.5,81,27,22.5,1,234.5,178.5,113,96,21,13,1,True,Patriots,Texans,NE,HOU,27,0,home,27,97,175,185,109,3,2016,Patriots_Texans_3_2016
