,home_off_pass_ypg,home_def_pass_ypg,home_off_rush_ypg,home_def_rush_ypg,home_off_ppg,home_def_ppg,home_win_pct,away_off_pass_ypg,away_def_pass_ypg,away_off_rush_ypg,away_def_rush_ypg,away_off_ppg,away_def_ppg,away_win_pct
Bears_Eagles_2_2016,185.0,215.0,73.0,129.0,14.0,23.0,0.0,270.0,168.0,133.0,120.0,29.0,10.0,1.0
Browns_Ravens_2_2016,168.0,270.0,120.0,133.0,10.0,29.0,0.0,225.0,95.0,83.0,65.0,13.0,7.0,1.0
Raiders_Falcons_2_2016,319.0,419.0,167.0,88.0,35.0,34.0,1.0,322.0,281.0,52.0,90.0,24.0,31.0,0.0
Cardinals_Buccaneers_2_2016,252.0,257.0,92.0,106.0,21.0,23.0,0.0,281.0,322.0,90.0,52.0,31.0,24.0,1.0
Steelers_Bengals_2_2016,290.0,329.0,147.0,55.0,38.0,16.0,1.0,324.0,188.0,57.0,152.0,23.0,22.0,1.0
Redskins_Cowboys_2_2016,329.0,290.0,55.0,147.0,16.0,38.0,0.0,227.0,203.0,101.0,113.0,19.0,20.0,0.0
Texans_Chiefs_2_2016,215.0,185.0,129.0,73.0,23.0,14.0,1.0,330.0,233.0,83.0,155.0,33.0,27.0,1.0
Panthers_49ers_2_2016,176.0,159.0,157.0,148.0,20.0,21.0,0.0,170.0,120.0,150.0,65.0,28.0,0.0,1.0
Bills_Jets_2_2016,95.0,225.0,65.0,83.0,7.0,13.0,0.0,188.0,324.0,152.0,57.0,22.0,23.0,0.0
Giants_Saints_2_2016,203.0,227.0,113.0,101.0,20.0,19.0,1.0,419.0,319.0,88.0,167.0,34.0,35.0,0.0
Broncos_Colts_2_2016,159.0,176.0,148.0,157.0,21.0,20.0,1.0,368.0,332.0,82.0,116.0,35.0,39.0,0.0
Lions_Titans_2_2016,332.0,368.0,116.0,82.0,39.0,35.0,1.0,252.0,236.0,64.0,65.0,16.0,25.0,0.0
Rams_Seahawks_2_2016,120.0,170.0,65.0,150.0,0.0,28.0,0.0,240.0,150.0,112.0,64.0,12.0,10.0,1.0
Patriots_Dolphins_2_2016,257.0,252.0,106.0,92.0,23.0,21.0,1.0,150.0,240.0,64.0,112.0,10.0,12.0,0.0
Vikings_Packers_2_2016,236.0,252.0,65.0,64.0,25.0,16.0,1.0,199.0,300.0,95.0,48.0,27.0,23.0,1.0
Chargers_Jaguars_2_2016,233.0,330.0,155.0,83.0,27.0,33.0,0.0,300.0,199.0,48.0,95.0,23.0,27.0,0.0
Bills_Cardinals_3_2016,201.0,297.5,75.5,103.0,19.0,25.0,0.0,281.5,239.0,98.5,95.5,30.5,15.0,0.5
Colts_Chargers_3_2016,269.0,299.0,82.5,125.0,27.5,36.5,0.0,220.0,324.5,152.5,76.0,32.5,23.5,0.5
Dolphins_Browns_3_2016,268.5,271.0,67.0,136.5,17.0,21.5,0.0,205.0,286.0,132.5,106.5,15.0,27.0,0.0
Giants_Redskins_3_2016,278.0,237.0,88.5,71.0,18.0,16.0,1.0,339.5,284.0,68.5,124.5,19.5,32.5,0.0
Packers_Lions_3_2016,189.5,277.0,89.0,39.0,20.5,20.0,0.5,285.0,296.0,126.5,110.5,27.0,25.5,0.5
Seahawks_49ers_3_2016,239.5,184.5,89.5,64.0,7.5,9.5,0.5,203.5,236.5,107.5,120.5,27.5,23.0,0.5
Jaguars_Ravens_3_2016,309.5,203.0,58.5,122.5,18.5,32.5,0.0,263.5,168.5,81.5,105.0,19.0,13.5,1.0
Titans_Raiders_3_2016,238.0,237.0,101.5,101.0,16.0,20.0,0.5,309.0,404.0,161.0,113.5,31.5,34.5,0.5
Patriots_Texans_3_2016,279.5,319.5,133.5,81.0,27.0,22.5,1.0,234.5,178.5,113.0,96.0,21.0,13.0,1.0
Bengals_Broncos_3_2016,345.0,219.0,51.5,138.0,19.5,23.0,0.5,212.5,173.0,141.0,120.0,27.5,20.0,1.0
Buccaneers_Rams_3_2016,251.0,316.5,87.5,78.5,19.0,32.0,0.5,169.5,204.5,64.5,108.5,4.5,15.5,0.5
Chiefs_Jets_3_2016,251.0,243.5,101.0,126.0,22.5,23.0,0.5,279.0,315.5,137.5,71.5,29.5,27.0,0.5
Eagles_Steelers_3_2016,225.0,194.0,116.5,92.0,29.0,12.0,1.0,270.0,347.5,135.5,50.5,31.0,16.0,1.0
Cowboys_Bears_3_2016,252.5,276.5,101.5,97.5,23.0,21.5,0.5,202.5,197.5,68.5,114.5,14.0,26.0,0.0
Saints_Falcons_3_2016,333.0,336.0,64.5,115.5,23.5,25.5,0.0,355.5,290.0,95.5,122.5,29.5,29.5,0.5
Panthers_Vikings_3_2016,264.5,198.0,166.5,106.5,33.0,24.0,0.5,245.0,216.0,47.5,73.5,21.0,15.0,1.0
Patriots_Bills_4_2016,218.66666666666666,271.3333333333333,150.66666666666666,90.33333333333333,27.0,15.0,1.0,163.66666666666666,285.0,119.66666666666667,98.0,23.666666666666668,22.666666666666668,0.3333333333333333
Vikings_Giants_4_2016,214.33333333333334,211.0,51.0,84.0,21.333333333333332,13.333333333333334,1.0,297.6666666666667,262.3333333333333,99.0,77.33333333333333,21.0,20.333333333333332,0.6666666666666666
Bengals_Dolphins_4_2016,293.0,247.0,82.0,109.33333333333333,18.666666666666668,25.0,0.3333333333333333,282.6666666666667,267.6666666666667,83.0,147.33333333333334,21.333333333333332,22.333333333333332,0.3333333333333333
Falcons_Panthers_4_2016,312.0,313.0,136.0,120.0,34.666666666666664,30.333333333333332,0.6666666666666666,243.33333333333334,183.0,146.0,90.33333333333333,25.333333333333332,23.333333333333332,0.3333333333333333
Ravens_Raiders_4_2016,242.0,168.33333333333334,82.33333333333333,86.0,19.0,14.666666666666666,1.0,287.6666666666667,340.0,148.33333333333334,136.0,26.666666666666668,26.333333333333332,0.6666666666666666
49ers_Cowboys_4_2016,175.33333333333334,254.66666666666666,116.66666666666667,122.66666666666667,24.333333333333332,27.666666666666668,0.3333333333333333,251.0,288.3333333333333,134.0,91.0,25.666666666666668,20.0,0.6666666666666666
Bears_Lions_4_2016,239.0,214.33333333333334,71.66666666666667,142.66666666666666,15.0,27.666666666666668,0.0,312.6666666666667,264.3333333333333,101.0,114.66666666666667,27.0,28.333333333333332,0.3333333333333333
Chargers_Saints_4_2016,251.66666666666666,322.0,114.0,81.66666666666667,29.0,24.333333333333332,0.3333333333333333,341.6666666666667,299.0,81.33333333333333,149.33333333333334,26.333333333333332,32.0,0.0
Buccaneers_Broncos_4_2016,297.0,272.0,86.0,98.0,23.333333333333332,33.666666666666664,0.3333333333333333,242.66666666666666,178.33333333333334,111.33333333333333,127.66666666666667,28.0,19.0,1.0
Jaguars_Colts_4_2016,262.3333333333333,201.66666666666666,55.0,109.66666666666667,18.0,28.0,0.0,285.0,304.3333333333333,86.0,95.66666666666667,27.0,31.666666666666668,0.3333333333333333
Redskins_Browns_4_2016,330.6666666666667,301.6666666666667,75.66666666666667,123.0,22.666666666666668,30.666666666666668,0.3333333333333333,223.66666666666666,294.3333333333333,144.66666666666666,109.33333333333333,18.0,28.0,0.0
Jets_Seahawks_4_2016,248.66666666666666,284.0,130.66666666666666,71.66666666666667,20.666666666666668,26.0,0.3333333333333333,256.6666666666667,162.66666666666666,102.0,87.66666666666667,17.333333333333332,12.333333333333334,0.6666666666666666
Steelers_Chiefs_4_2016,254.0,332.0,100.0,75.33333333333333,21.666666666666668,22.0,0.6666666666666666,241.0,225.0,91.33333333333333,123.0,23.0,16.333333333333332,0.6666666666666666
Texans_Titans_4_2016,214.66666666666666,151.33333333333334,111.66666666666667,125.66666666666667,14.0,17.666666666666668,0.6666666666666666,229.33333333333334,239.66666666666666,128.0,108.33333333333333,14.0,19.0,0.3333333333333333
Cardinals_Rams_4_2016,274.3333333333333,189.0,95.0,133.0,26.333333333333332,21.0,0.3333333333333333,174.0,266.0,88.66666666666667,100.0,15.333333333333334,21.0,0.6666666666666666
Steelers_Jets_5_2016,262.25,316.5,112.25,78.25,27.0,20.0,0.75,248.25,285.0,112.5,70.25,19.75,26.25,0.25
Vikings_Texans_5_2016,226.25,223.5,64.25,82.5,22.0,12.5,1.0,222.0,162.5,112.5,125.25,17.25,18.25,0.75
Packers_Giants_5_2016,193.33333333333334,307.3333333333333,100.33333333333333,42.666666666666664,25.0,22.333333333333332,0.6666666666666666,288.5,262.25,93.75,84.0,18.25,21.25,0.5
Broncos_Falcons_5_2016,236.5,169.5,105.75,113.75,27.75,16.0,1.0,354.25,317.0,124.5,102.25,38.0,31.0,0.75
Rams_Bills_5_2016,192.25,275.0,76.75,104.5,15.75,19.0,0.75,183.75,260.5,123.25,96.0,21.75,17.0,0.5
Ravens_Redskins_5_2016,252.0,176.0,94.25,80.0,21.0,18.0,0.75,287.0,280.5,93.0,133.0,24.75,28.0,0.5
Lions_Eagles_5_2016,283.75,271.75,92.25,114.5,23.75,25.5,0.25,250.33333333333334,203.33333333333334,119.33333333333333,71.0,30.666666666666668,9.0,1.0
Panthers_Buccaneers_5_2016,264.75,257.5,121.75,90.25,27.25,29.5,0.25,258.5,258.5,82.5,95.75,19.25,32.0,0.25
Colts_Bears_5_2016,261.25,277.0,88.0,105.75,27.0,31.25,0.25,252.75,210.0,82.25,123.5,15.5,24.25,0.25
Raiders_Chargers_5_2016,265.5,325.5,126.75,134.5,27.0,26.5,0.75,265.75,289.5,95.0,82.0,30.25,27.0,0.25
Cowboys_Bengals_5_2016,246.75,263.5,149.0,94.75,25.25,19.25,0.75,291.0,225.25,80.75,97.5,19.5,20.5,0.5
49ers_Cardinals_5_2016,178.75,249.5,114.0,140.5,22.5,26.75,0.25,281.25,203.5,100.75,110.0,23.0,20.0,0.25
Browns_Patriots_5_2016,222.0,259.75,149.25,118.25,18.5,28.75,0.0,210.75,264.5,135.5,101.25,20.25,15.25,0.75
Dolphins_Titans_5_2016,252.0,272.0,77.75,129.75,17.75,22.25,0.25,221.0,240.75,127.0,110.0,15.5,21.0,0.25
Seahawks_Falcons_6_2016,264.5,183.75,93.0,80.25,19.75,13.5,0.75,333.4,290.2,124.0,98.6,35.0,28.0,0.8
Giants_Ravens_6_2016,266.4,261.6,83.6,96.6,17.8,21.6,0.4,239.2,190.8,99.0,76.0,18.8,17.6,0.6
Lions_Rams_6_2016,259.8,263.4,89.8,114.8,23.8,25.0,0.4,202.4,242.4,81.8,122.2,16.4,21.2,0.6
Bears_Jaguars_6_2016,281.6,227.6,90.8,118.4,17.0,25.2,0.2,245.5,198.75,75.25,105.75,21.0,27.75,0.25
Dolphins_Steelers_6_2016,231.4,250.2,72.4,150.8,17.6,23.8,0.2,284.8,302.0,102.0,77.0,27.8,18.6,0.8
Raiders_Chiefs_6_2016,272.4,330.6,119.2,122.0,28.4,27.4,0.8,248.25,240.5,90.25,129.5,20.75,23.0,0.5
Saints_Panthers_6_2016,304.25,301.25,81.75,121.5,28.5,32.5,0.25,267.4,246.4,124.6,94.8,24.6,27.0,0.2
Redskins_Eagles_6_2016,279.6,262.0,86.4,130.0,23.0,24.4,0.6,245.25,193.5,118.5,73.25,28.75,12.75,0.75
Bills_49ers_6_2016,169.4,257.0,137.2,97.2,23.4,17.4,0.6,170.0,222.8,121.4,146.8,22.2,28.0,0.2
Texans_Colts_6_2016,208.6,181.0,101.8,119.4,16.4,20.8,0.6,268.6,301.0,90.0,109.6,27.4,29.6,0.4
Packers_Cowboys_6_2016,209.75,275.0,112.0,42.75,24.5,20.75,0.75,241.8,260.6,155.2,95.0,25.8,18.2,0.8
Titans_Browns_6_2016,209.4,222.4,148.6,98.2,18.4,20.2,0.4,224.6,288.4,124.8,114.2,17.4,29.6,0.0
Cardinals_Jets_6_2016,248.2,189.8,115.0,118.2,25.0,20.2,0.4,247.4,303.0,104.4,68.4,18.4,27.2,0.2
Patriots_Bengals_6_2016,249.2,258.6,128.0,86.4,22.8,14.8,0.8,282.6,224.6,83.8,114.0,18.4,22.0,0.4
Chargers_Broncos_6_2016,282.8,291.6,90.4,83.4,30.4,28.4,0.2,225.8,185.6,101.4,115.4,25.4,17.4,0.8
Cardinals_Seahawks_7_2016,244.33333333333334,191.0,124.33333333333333,104.0,25.5,17.333333333333332,0.5,263.8,209.0,88.8,74.6,21.0,15.6,0.8
Broncos_Texans_7_2016,224.83333333333334,182.33333333333334,98.5,112.66666666666667,23.333333333333332,18.0,0.6666666666666666,216.5,189.33333333333334,111.16666666666667,126.33333333333333,18.0,21.166666666666668,0.6666666666666666
Jets_Ravens_7_2016,239.0,290.0,92.5,85.5,15.833333333333334,27.333333333333332,0.16666666666666666,248.16666666666666,225.16666666666666,98.83333333333333,69.66666666666667,19.5,19.166666666666668,0.5
Titans_Colts_7_2016,219.5,235.5,146.66666666666666,88.5,20.0,21.166666666666668,0.5,262.3333333333333,293.5,101.83333333333333,117.66666666666667,26.666666666666668,29.0,0.3333333333333333
Falcons_Chargers_7_2016,329.5,285.3333333333333,112.0,94.16666666666667,33.166666666666664,27.666666666666668,0.6666666666666666,263.3333333333333,279.6666666666667,91.83333333333333,83.5,28.833333333333332,25.833333333333332,0.3333333333333333
Lions_Redskins_7_2016,260.6666666666667,271.3333333333333,88.66666666666667,108.33333333333333,25.0,25.5,0.5,276.8333333333333,242.5,110.33333333333333,124.0,23.666666666666668,23.666666666666668,0.6666666666666666
Bengals_Browns_7_2016,275.0,246.83333333333334,89.83333333333333,108.16666666666667,18.166666666666668,24.166666666666668,0.3333333333333333,237.33333333333334,285.3333333333333,110.66666666666667,118.0,18.833333333333332,29.333333333333332,0.0
Packers_Bears_7_2016,226.6,266.6,105.2,72.4,22.8,22.6,0.6,284.1666666666667,233.5,91.0,107.66666666666667,16.833333333333332,23.833333333333332,0.16666666666666666
Chiefs_Saints_7_2016,243.2,236.6,108.8,116.4,21.8,20.4,0.6,335.4,301.6,78.0,117.8,31.0,33.6,0.4
Rams_Giants_7_2016,220.5,246.16666666666666,80.83333333333333,115.66666666666667,18.333333333333332,22.833333333333332,0.5,288.1666666666667,266.8333333333333,76.0,96.83333333333333,19.333333333333332,21.833333333333332,0.5
Dolphins_Bills_7_2016,234.83333333333334,236.66666666666666,97.33333333333333,147.0,19.666666666666668,22.333333333333332,0.3333333333333333,171.0,242.0,166.5,103.16666666666667,27.0,17.166666666666668,0.6666666666666666
Eagles_Vikings_7_2016,225.2,207.4,113.6,104.6,27.0,15.6,0.6,232.0,209.8,70.6,77.8,23.8,12.6,1.0
Steelers_Patriots_7_2016,265.5,293.6666666666667,106.33333333333333,101.16666666666667,25.666666666666668,20.5,0.6666666666666666,267.3333333333333,255.0,119.83333333333333,92.0,24.833333333333332,15.166666666666666,0.8333333333333334
49ers_Buccaneers_7_2016,169.5,215.5,123.33333333333333,174.5,21.166666666666668,30.833333333333332,0.16666666666666666,247.2,262.4,88.6,103.8,18.8,28.4,0.4
Jaguars_Raiders_7_2016,249.0,218.4,71.0,103.0,20.2,25.4,0.4,263.8333333333333,312.6666666666667,110.0,132.16666666666666,25.333333333333332,27.166666666666668,0.6666666666666666
Colts_Chiefs_8_2016,273.57142857142856,281.14285714285717,98.85714285714286,118.57142857142857,27.714285714285715,28.571428571428573,0.42857142857142855,238.33333333333334,257.0,109.33333333333333,114.33333333333333,22.666666666666668,20.5,0.6666666666666666
Broncos_Chargers_8_2016,215.14285714285714,175.0,111.57142857142857,116.57142857142857,23.857142857142858,16.714285714285715,0.7142857142857143,275.42857142857144,276.2857142857143,89.85714285714286,90.14285714285714,29.428571428571427,26.428571428571427,0.42857142857142855
Texans_Lions_8_2016,204.28571428571428,184.71428571428572,115.28571428571429,135.42857142857142,16.714285714285715,22.0,0.5714285714285714,259.14285714285717,273.0,89.42857142857143,111.42857142857143,24.285714285714285,24.285714285714285,0.5714285714285714
Saints_Seahawks_8_2016,339.3333333333333,287.0,82.33333333333333,116.83333333333333,29.333333333333332,32.5,0.3333333333333333,254.0,226.0,82.66666666666667,84.16666666666667,18.5,14.0,0.75
Bears_Vikings_8_2016,260.7142857142857,243.42857142857142,87.85714285714286,107.0,15.857142857142858,24.142857142857142,0.14285714285714285,224.83333333333334,197.83333333333334,74.33333333333333,81.66666666666667,21.5,14.0,0.8333333333333334
Panthers_Cardinals_8_2016,273.3333333333333,282.0,121.0,89.5,26.833333333333332,29.333333333333332,0.16666666666666666,253.85714285714286,193.0,125.42857142857143,96.57142857142857,22.714285714285715,15.714285714285714,0.5
