played,home_team,away_team,home_alias,away_alias,homePts,awayPts,winner,totalPts,home_passing_yards,away_passing_yards,home_rushing_yards,away_rushing_yards,week
True,Browns,Titans,CLE,TEN,13,43,away,56,244,216,102,123,1
True,Dolphins,Ravens,MIA,BAL,10,59,away,69,179,378,21,265,1
True,Raiders,Broncos,OAK,DEN,24,16,home,40,259,249,98,95,1
True,Saints,Texans,NO,HOU,30,28,home,58,362,234,148,180,1
True,Seahawks,Bengals,SEA,CIN,21,20,home,41,160,395,72,34,1
True,Patriots,Steelers,NE,PIT,33,3,home,36,366,276,99,32,1
True,Buccaneers,49ers,TB,SF,17,31,away,48,174,158,121,98,1
True,Jets,Bills,NYJ,BUF,16,17,away,33,155,242,68,128,1
True,Chargers,Colts,LAC,IND,30,24,home,54,310,173,125,203,1
True,Eagles,Redskins,PHI,WAS,32,27,home,59,313,370,123,28,1
True,Cardinals,Lions,ARI,DET,27,27,tie,54,275,361,112,116,1
True,Jaguars,Chiefs,JAC,KC,26,40,away,66,347,378,81,113,1
True,Panthers,Rams,CAR,LA,27,30,away,57,216,183,127,166,1
True,Vikings,Falcons,MIN,ATL,28,12,home,40,97,272,172,73,1
True,Bears,Packers,CHI,GB,3,10,away,13,208,166,46,47,1
True,Cowboys,Giants,DAL,NYG,35,17,home,52,405,319,89,151,1
True,Lions,Chargers,DET,LAC,13,10,home,23,245,287,94,137,2
True,Broncos,Bears,DEN,CHI,14,16,away,30,282,120,90,153,2
True,Panthers,Buccaneers,CAR,TB,14,20,away,34,313,189,39,100,2
True,Titans,Colts,TEN,IND,17,19,away,36,119,121,124,167,2
True,Falcons,Eagles,ATL,PHI,24,20,home,44,310,237,57,49,2
True,Redskins,Cowboys,WAS,DAL,21,31,away,52,208,261,47,213,2
True,Steelers,Seahawks,PIT,SEA,26,28,away,54,180,274,81,151,2
True,Packers,Vikings,GB,MIN,21,16,home,37,191,223,144,198,2
True,Raiders,Chiefs,OAK,KC,10,28,away,38,178,436,129,31,2
True,Jets,Browns,NYJ,CLE,3,23,away,26,169,305,93,70,2
True,Giants,Bills,NYG,BUF,14,28,away,42,241,237,129,151,2
True,Texans,Jaguars,HOU,JAC,13,12,home,25,137,178,126,103,2
True,Ravens,Cardinals,BAL,ARI,23,17,home,40,258,329,182,20,2
True,Rams,Saints,LA,NO,27,9,home,36,265,187,115,57,2
True,Bengals,49ers,CIN,SF,17,41,away,58,291,312,25,259,2
True,Dolphins,Patriots,MIA,NE,0,43,away,43,142,255,42,124,2
True,Buccaneers,Giants,TB,NYG,31,32,away,63,355,312,144,72,3
True,49ers,Steelers,SF,PIT,24,20,home,44,268,160,168,79,3
True,Packers,Broncos,GB,DEN,27,16,home,43,235,161,77,149,3
True,Colts,Falcons,IND,ATL,27,24,home,51,300,304,79,93,3
True,Browns,Rams,CLE,LA,13,20,away,33,175,254,95,90,3
True,Chiefs,Ravens,KC,BAL,33,28,home,61,363,249,140,203,3
True,Chargers,Texans,LAC,HOU,20,27,away,47,293,337,73,39,3
True,Bills,Bengals,BUF,CIN,21,17,home,38,241,240,175,66,3
True,Patriots,Jets,NE,NYJ,30,14,home,44,313,69,68,36,3
True,Redskins,Bears,WAS,CHI,15,31,away,46,287,208,69,90,3
True,Eagles,Lions,PHI,DET,24,27,away,51,246,201,127,86,3
True,Cardinals,Panthers,ARI,CAR,20,38,away,58,127,240,121,173,3
True,Jaguars,Titans,JAC,TEN,20,7,home,27,204,249,88,91,3
True,Vikings,Raiders,MIN,OAK,34,14,home,48,174,214,211,88,3
True,Seahawks,Saints,SEA,NO,27,33,away,60,406,177,108,88,3
True,Cowboys,Dolphins,DAL,MIA,31,6,home,37,241,211,235,72,3
True,Rams,Buccaneers,LA,TB,40,55,away,95,490,376,28,88,4
True,Texans,Panthers,HOU,CAR,10,16,away,26,128,203,136,94,4
