played,home_team,away_team,home_alias,away_alias,homePts,awayPts,winner,totalPts,home_passing_yards,away_passing_yards,home_rushing_yards,away_rushing_yards,week
True,Cowboys,Bills,DAL,BUF,15,26,away,41,323,232,103,124,13
False,Chiefs,Raiders,KC,OAK,0,0,0,0,0,0,0,0,13
False,Dolphins,Eagles,MIA,PHI,0,0,0,0,0,0,0,0,13
False,Bengals,Jets,CIN,NYJ,0,0,0,0,0,0,0,0,13
True,Falcons,Saints,ATL,NO,18,26,away,44,259,184,89,95,13
False,Seahawks,Vikings,SEA,MIN,0,0,0,0,0,0,0,0,13
False,Colts,Titans,IND,TEN,0,0,0,0,0,0,0,0,13
False,Texans,Patriots,HOU,NE,0,0,0,0,0,0,0,0,13
False,Cardinals,Rams,ARI,LA,0,0,0,0,0,0,0,0,13
False,Broncos,Chargers,DEN,LAC,0,0,0,0,0,0,0,0,13
False,Steelers,Browns,PIT,CLE,0,0,0,0,0,0,0,0,13
False,Panthers,Redskins,CAR,WAS,0,0,0,0,0,0,0,0,13
False,Giants,Packers,NYG,GB,0,0,0,0,0,0,0,0,13
False,Ravens,49ers,BAL,SF,0,0,0,0,0,0,0,0,13
True,Lions,Bears,DET,CHI,20,24,away,44,259,331,105,88,13
False,Jaguars,Buccaneers,JAC,TB,0,0,0,0,0,0,0,0,13
False,Bears,Cowboys,CHI,DAL,0,0,0,0,0,0,0,0,14
